,original,summarized
222," Prince earned more than any other pop star in 2004, beating artists such Madonna and Elton John in US magazine Rolling Stone's annual list.  The singer banked $56.5m (30.4m) from concerts, album and publishing sales with his Musicology tour and album. He kept Madonna in second place, as she earned $54.9m (29.5m) while embarking on her global Re-Invention Tour. Veterans Simon and Garfunkel were in 10th place, their comeback tour helping them earn $24.9m (13.4m) last year.  ""Prince returned to centre stage after a decade in the commercial wilderness,"" the magazine reported. The singer's 2004 tour took $90.3m (48.5m) in ticket sales and he sold 1.9 million copies of his latest album Musicology.  Although she grossed more than Prince last year, Madonna remained in second place because of the ""monumental"" production costs of her tour. Heavy metal band Metallica's Madly in Anger with the World tour helped push their 2004 earnings up to $43.1m (23.1m). They were ahead of Sir Elton John, who took fourth place and almost $42.7m (23m) from performances including a debut on the Las Vegas Strip. Other seasoned performers in the list included Rod Stewart, whose sold-out shows and third volume of The Great American Songbook covers album helped net him 35m (19m). The highest-ranking rap act in the list was 50 Cent, who at number 19 took $24m (13m) to the bank. ","Heavy metal band Metallica's Madly in Anger with the World tour helped push their 2004 earnings up to $43.1m (23.1m). They were ahead of Sir Elton John, who took fourth place and almost $42.7m (23m) from performances including a debut on the Las Vegas Strip. The highest-ranking rap act in the list was 50 Cent, who at number 19 took $24m (13m) to the bank. "
223," Betty Boothroyd has said the House of Lords needs its own Speaker and that peers should lead the way on reforming the upper chamber.  Baroness Boothroyd, who was the first woman to be Commons Speaker, said she believed Tony Blair initiated reforms without a clear outcome in mind. ""Now we have to take care of it ourselves and make the best of it,"" she told the BBC's Breakfast with Frost. In 1999 Labour removed all but 92 of the Lords' 750 hereditary peers. That was billed as the first stage of reform of the institution. The lord chancellor hinted further reforms could be unveiled in the next Labour manifesto.  ""I think we need to look very carefully at the relationship between the Lords and the Commons,"" Lord Falconer told BBC1's Breakfast With Frost. ""How it interacts with the Commons is a very, very important issue. ""We need to address the issue in the manifesto, but you will have to wait for when the manifesto comes."" The lord chancellor currently has the role of House of Lords speaker. He is also head of the judiciary and a member of the Cabinet as constitutional affairs secretary.  Lady Boothroyd said she believed it was unacceptable for the lord chancellor to have the role of Speaker. ""I would really like to see a Speaker of the House of Lords,"" she said. ""I don't go for the idea of somebody - a lord chancellor - who is head of the judiciary, a senior Cabinet minister and Speaker of the Lords. ""I want somebody there who is going to look after that House and do a job there. "," Betty Boothroyd has said the House of Lords needs its own Speaker and that peers should lead the way on reforming the upper chamber. Baroness Boothroyd, who was the first woman to be Commons Speaker, said she believed Tony Blair initiated reforms without a clear outcome in mind. ""Now we have to take care of it ourselves and make the best of it,"" she told the BBC's Breakfast with Frost. The lord chancellor hinted further reforms could be unveiled in the next Labour manifesto. The lord chancellor currently has the role of House of Lords speaker. ""I don't go for the idea of somebody - a lord chancellor - who is head of the judiciary, a senior Cabinet minister and Speaker of the Lords. "
224," Kostas Kenteris and Katerina Thanou are yet to respond to doping charges from the International Association of Athletics Federations (IAAF).  The Greek pair were charged after missing a series of routine drugs tests in Tel Aviv, Chicago and Athens. They have until midnight on 16 December and an IAAF spokesman said: ""We're sure their responses are on their way."" If they do not respond or their explanations are rejected, they will be provisionally banned from competition. They will then face a hearing in front of the Greek Federation, which will ultimately determine their fate. Their former coach Christos Tzekos has also been charged with distributing banned substances. Under IAAF rules, the athletes could receive a maximum one-year suspension. Kenteris and Thanou already face a criminal trial after being charged with avoiding a drug test on the eve of the Athens Olympics and then faking a motorcyle crash.  No date for the trial has yet been set and again Tzekos is also facing charges. The IAAF issued an official warning to the trio last year after they were discovered training in Qatar rather than in Crete, where they had said they would be. All athletes must inform their national federations where they are at all times, so they can be available for out-of-competition drugs tests. But Kenteris and Thanou then went on to skip tests in Tel Aviv and Chicago, when they decided to fly back to Greece early. Then just before the Olympics, the pair dramatically missed another test in Athens and withdrew from the Games. "," Kostas Kenteris and Katerina Thanou are yet to respond to doping charges from the International Association of Athletics Federations (IAAF). If they do not respond or their explanations are rejected, they will be provisionally banned from competition. Kenteris and Thanou already face a criminal trial after being charged with avoiding a drug test on the eve of the Athens Olympics and then faking a motorcyle crash. Then just before the Olympics, the pair dramatically missed another test in Athens and withdrew from the Games. "
225," Non-European Union citizens wanting to work in the UK will have to undergo tests for Tuberculosis and HIV, under plans unveiled by the Conservatives.  A positive test for TB would mean visa applications being turned down, while HIV would be dealt with case by case. Leader Michael Howard said the checks on new arrivals would help protect public health and the NHS. Labour said many tests were already done. The Lib Dems warned both parties against ""pandering to prejudice"".  The proposals, which would be brought in if the Conservatives won the General Election, would not apply to people coming to the UK for less than six months unless they intended to work in health or childcare or teaching. Mr Howard said the plans were based on policies already in action in Canada, New Zealand and Australia. ""It's very important that we should safeguard the good standards of public health that Britain enjoys,"" he told BBC Radio 4's Today programme. Government figures suggest TB in England has increased by 25% over the past 10 years. ""Nearly two thirds of people with TB are born abroad,"" said Mr Howard.  ""I don't think a responsible government can stand aside and do nothing in the face of this problem."" But Mr Howard said the plans would not affect asylum applicants' claims. The proposals include:  - People coming to the UK from outside the EU for between six and 12 months from a ""high incidence TB country"" will have to undergo a chest X-ray.   - People coming to settle in the UK permanently from outside the EU will have to ""demonstrate they have an acceptable standard of health"".   - They will also have to show they are unlikely to be a danger to public health and are unlikely to ""impose significant costs or demands"" on the NHS.   - The tests will include a health check, chest X-rays for TB (except for children and pregnant women) and tests for hepatitis and HIV for over 16-year-olds. Only the discovery of TB will mean people will be automatically denied a visa, other conditions will be dealt with on a ""case by case basis"".  There is already some screening in place. Last year 185,000 people were tested for TB at Heathrow and Gatwick airports, only about 200 were found to be infected. And Dr John Moore-Gillon, of the British Lung Foundation, said: ""TB is not simply imported, we are seeing a rise in many sections of the UK-born population as well."" The government says the Tories are ""a bit late"" to the issue. Immigration minister Des Browne quoted its five-year plan for immigration and asylum, as saying: ""We are implementing our existing powers by targeted health screening for TB in high-risk areas at the entry clearance stage. ""Those who are diagnosed would then need to seek treatment at home before being allowed to enter the UK."" Meanwhile Mark Oaten, Liberal Democrat home affairs spokesman, said: ""This is another worrying step in the war of words over asylum and immigration between Labour and the Conservatives. ""Michael Howard knows perfectly well what bigger game he is playing, and history proves it is a very dangerous one."" Lisa Power, head of policy at Aids charity the Terrence Higgins Trust said the policy was prejudice-based rather than evidence-based. ""In fact, it would be more likely to drive people with health conditions to falsify tests while others gain entry by simple dint of their EU status,"" she said. "," Non-European Union citizens wanting to work in the UK will have to undergo tests for Tuberculosis and HIV, under plans unveiled by the Conservatives. Leader Michael Howard said the checks on new arrivals would help protect public health and the NHS. Mr Howard said the plans were based on policies already in action in Canada, New Zealand and Australia. ""It's very important that we should safeguard the good standards of public health that Britain enjoys,"" he told BBC Radio 4's Today programme. - They will also have to show they are unlikely to be a danger to public health and are unlikely to ""impose significant costs or demands"" on the NHS. Only the discovery of TB will mean people will be automatically denied a visa, other conditions will be dealt with on a ""case by case basis"". And Dr John Moore-Gillon, of the British Lung Foundation, said: ""TB is not simply imported, we are seeing a rise in many sections of the UK-born population as well."" Immigration minister Des Browne quoted its five-year plan for immigration and asylum, as saying: ""We are implementing our existing powers by targeted health screening for TB in high-risk areas at the entry clearance stage. ""In fact, it would be more likely to drive people with health conditions to falsify tests while others gain entry by simple dint of their EU status,"" she said. "
226," Pan-European group Euronext is poised to launch a bid for the London Stock Exchange, UK media reports say.  Last week, the LSE rejected a takeover proposal from German rival Deutsche Boerse - the 530 pence-a-share offer valued the exchange at about 1.35bn. The LSE, which saw its shares rise 25%, said the bid undervalued the business. Euronext - formed after the Brussels, Paris and Amsterdam exchanges merged - is reportedly working with three investment banks on a possible offer. The LSE, Europe's biggest stock market, is a key prize, listing stocks with a total capitalisation of 1.4 trillion.  Euronext already has a presence in London due to its 2001 acquisition of London-based options and futures exchange Liffe. Trades on the LSE are cleared via Clearnet, in which Euronext has a quarter stake.  Euronext, which also operates an exchange in Lisbon, last week appointed UBS and ABN Amro as additional advisors. It is also working with Morgan Stanley. Despite the rejection of the Deutsche Boerse bid last week, Werner Seifert, chief executive of the Frankfurt-based exchange, may well come back with an improved offer. It has long wanted to link up with London, and the two tried and failed to seal a merger in 2000. Responding to the LSE's rebuff, Deutsche Boerse - whose market capitalisation is more than 3bn - said it believed it could show its proposal offered benefits, and that it still hoped to make a cash bid.  Last week the LSE said not only was the bid undervalued, but that it had ""been advised that there can be no assurance that any transaction could be successfully implemented"". However, it has indicated it is open for further talks. Meanwhile, German magazine Der Spiegel said part of Mr Seifert's negotiations with the LSE were about where to base the future board of any merged exchange. While Mr Seifert has suggested a merged company would be run out of London, the mayor of Frankfurt has raised concerns that such a move could cost German jobs. Many analysts believe German Boerse has more financial firepower than Euronext if it came to a bidding war. ","The LSE, which saw its shares rise 25%, said the bid undervalued the business. Euronext already has a presence in London due to its 2001 acquisition of London-based options and futures exchange Liffe. Despite the rejection of the Deutsche Boerse bid last week, Werner Seifert, chief executive of the Frankfurt-based exchange, may well come back with an improved offer. It has long wanted to link up with London, and the two tried and failed to seal a merger in 2000. Many analysts believe German Boerse has more financial firepower than Euronext if it came to a bidding war. "
227," Former Australian wing David Campese has told England to stop whingeing in the wake of their defeat to Ireland.  England coach Andy Robinson lambasted referee Jonathan Kaplan for costing them the game after disallowing tries from Mark Cueto and Josh Lewsey. But Campese told BBC Sport: ""Robinson is living up to England's reputation as whingeing Poms. ""Stop going on about it as who really cares? They're acting like they're the first team to be cheated of a win.""  England are contemplating a complaint to the International Rugby Board after potential ""tries"" by Cueto in the first half and Lewsey late on were ruled out without recourse to the video referee. But Campese added: ""Scotland could have beaten France in the same way, but do you see them whingeing? ""Basically, things didn't go England's way and, in typical fashion, they make more of it when they believe they've lost unfairly.""  England are second bottom in the Six Nations table following defeats by Wales, France and Ireland. But although Campese admitted he was surprised about their current predicament, he insisted England were ""no longer world class"". ""England are beginning to realise that being world champions doesn't mean you deserve to win every game,"" he said. ""They lost a few key players and suddenly everyone's realised the ones on the fringes were not all that good in the first place. ""Added to that, the senior players aren't standing up and they can't do anything when the pressure mounts.""  Campese, a veteran of 101 international caps, said full-back Jason Robinson would now be the sole Englishman in his World XV. Robinson has been blamed for poor leadership in the tournament, while his coach has been castigated for appointing a full-back captain. ""I agree that you can't captain from full-back,"" said Campese. ""You need someone in the thick of the action, and it's very hard to give orders from all the way back there. ""Some people are leaders and some aren't. He's not but there's no one who stands out in England's pack - no clear-cut leaders."" Campese, though, defended coach Andy Robinson, who he believes was the ""only choice"" after Sir Clive Woodward's resignation.  But he blamed ""a lack of talent in the England camp"" for making the current coach look poor. England face a potential wooden spoon match against Italy on 12 March. And the ex-Wallaby added: ""If England lost that, they'd be in bloody turmoil. That said, I don't think they will."" Campese has tipped Wales to win both the Six Nations and Grand Slam come the end of the tournament. ""It's been a surprising tournament,"" he said, ""and maybe Ireland have a little bit more talent overall. ""But playing at home is a major boost. And the possible Grand Slam decider at the Millennium Stadium will be just too much for the Irish."" ","England coach Andy Robinson lambasted referee Jonathan Kaplan for costing them the game after disallowing tries from Mark Cueto and Josh Lewsey. England are contemplating a complaint to the International Rugby Board after potential ""tries"" by Cueto in the first half and Lewsey late on were ruled out without recourse to the video referee. But although Campese admitted he was surprised about their current predicament, he insisted England were ""no longer world class"". ""England are beginning to realise that being world champions doesn't mean you deserve to win every game,"" he said. ""Added to that, the senior players aren't standing up and they can't do anything when the pressure mounts."" He's not but there's no one who stands out in England's pack - no clear-cut leaders."" Campese, though, defended coach Andy Robinson, who he believes was the ""only choice"" after Sir Clive Woodward's resignation. But he blamed ""a lack of talent in the England camp"" for making the current coach look poor. ""But playing at home is a major boost. "
228," Film stars from across the globe are preparing to walk the red carpet at this year's Bafta award ceremony.  The 2005 Orange British Academy Film Awards are being held at The Odeon in London's Leicester Square. A host of Hollywood stars, including Cate Blanchett, Leonardo DiCaprio, Keanu Reeves and Richard Gere, are expected to attend Saturday's ceremony. Hosted by Stephen Fry, the glittering ceremony will be broadcast on BBC One at 2010 GMT.  Other actors expected to add to the glamour of the biggest night in UK film are Gael Garcia Bernal, Imelda Staunton, Diane Kruger, Christian Slater, Anjelica Huston, Helen Mirren and former James Bond star Pierce Brosnan. Hollywood blockbuster The Aviator, starring DiCaprio, leads the field with 14 nominations, including best film.  It is up against Eternal Sunshine of the Spotless Mind, Finding Neverland, The Motorcycle Diaries and British film Vera Drake, which has 11 nominations. British hope Imelda Staunton is one of the favourites to land the best actress award for her gritty role as a backstreet abortionist in the small-budget film. Other nominees in the best actress category include Charlize Theron for Monster, Ziyi Zhang for House of Flying Daggers and UK star Kate Winslet, who has two nods for her roles in Eternal Sunshine of the Spotless Mind and Finding Neverland.  DiCaprio faces competition from Bernal, Jamie Foxx, Jim Carrey and Johnny Depp in the best actor category. And British actor Clive Owen is hoping to repeat his Golden Globe success with a best supporting actor award for his role in Closer. His co-star Natalie Portman is up against Blanchett, Heather Craney, Julie Cristie and Meryl Streep in the best supporting actress category. Mike Leigh is up for the best director award for Vera Drake, alongside Martin Scorsese for The Aviator, Michael Mann for Collateral, Michel Gondry for Eternal Sunshine of the Spotless Mind and Marc Forster for Finding Neverland. ","Hollywood blockbuster The Aviator, starring DiCaprio, leads the field with 14 nominations, including best film. It is up against Eternal Sunshine of the Spotless Mind, Finding Neverland, The Motorcycle Diaries and British film Vera Drake, which has 11 nominations. Other nominees in the best actress category include Charlize Theron for Monster, Ziyi Zhang for House of Flying Daggers and UK star Kate Winslet, who has two nods for her roles in Eternal Sunshine of the Spotless Mind and Finding Neverland. And British actor Clive Owen is hoping to repeat his Golden Globe success with a best supporting actor award for his role in Closer. "
229," Profits at Chinese computer firm Lenovo have stood still amid slowing demand at home and stiffening competition.  The firm is in the international spotlight after last year signing a deal to buy the PC division of personal computer pioneer IBM. Lenovo's profit for the three months to December was HK$327m (US$42m; 22m), less than 1% up on the year before. Chinese PC sales have risen by a fifth in each of the past two years, but are now growing more slowly. The company is still by far the biggest player in China, with more than a quarter of the market. But Western firms such as Dell and Hewlett-Packard are also mounting a more solid fight for market share in China, and Lenovo's sales were down 3.7% by revenue to HK$6.31bn.  If the $1.75bn agreement Lenovo signed with IBM on 8 December goes through, it will mark the end of an era. IBM pioneered the desktop PC market in the early 1980s, although strategic mis-steps helped lose it its early dominance. In any case, margins in PC market are now wafer thin, and profits have been hard to come by for most vendors except direct-sales giant Dell. But investors have been less than impressed with Lenovo's move, designed to take it out of China and further onto the world stage. Its shares are down 20% since the announcement two months ago, largely because of the unprofitability of the unit it is buying. There have been rumours that the deal could be in trouble because US government agencies fear it could offer China opportunities for industrial espionage. The reports of the possibility of an investigation into the risk sent Lenovo's shares up 6% in late January. "," Profits at Chinese computer firm Lenovo have stood still amid slowing demand at home and stiffening competition. The firm is in the international spotlight after last year signing a deal to buy the PC division of personal computer pioneer IBM. IBM pioneered the desktop PC market in the early 1980s, although strategic mis-steps helped lose it its early dominance. In any case, margins in PC market are now wafer thin, and profits have been hard to come by for most vendors except direct-sales giant Dell. "
230," Voting is under way for the annual Bloggies which recognise the best web blogs - online spaces where people publish their thoughts - of the year.  Nominations were announced on Sunday, but traffic to the official site was so heavy that the website was temporarily closed because of too many visitors. Weblogs have been nominated in 30 categories, from the top regional blog, to the best-kept-secret blog. Blogs had a huge year, with a top US dictionary naming ""blog"" word of 2004. Technorati, a blog search engine, tracks about six million blogs and says that more than 12,000 are added daily. A blog is created every 5.8 seconds, according to US research think-tank Pew Internet and American Life, but less than 40% of the total are updated at least once every two months.  Nikolai Nolan, who has run the Bloggies for the past five years, told the BBC News website he was not too surprised by the amount of voters who crowded the site. ""The awards always get a lot of traffic; this was just my first year on a server with a bandwidth limit, so I had to guess how much I'd need,"" he said. There were many new finalists this year, he added, and a few that had won Bloggies before. Several entries reflected specific news events. ""There are four nominations for the South-East Asia Earthquake and Tsunami Blog, which is a pretty timely one for 2005,"" said Mr Nolan.  The big Bloggies battle will be for the ultimate prize of blog of the year. The nominated blogs are wide-ranging covering what is in the news to quirky sites of interest. Fighting it out for the coveted award are Gawker, This Fish Needs a Bicycle, Wonkette, Boing Boing, and Gothamist. In a sign that blogs are playing an increasingly key part in spreading news and current affairs, The South-East Asia Earthquake and Tsunami Blog is also nominated in the best overall category. GreenFairyDotcom, Londonist, Hicksdesign, PlasticBag and London Underground Tube Blog are the nominees in the best British or Irish weblog.  Included in the other categories is best ""meme"". This is for the top ""replicating idea that spread about weblogs"". Nominations include Flickr, a web photo album which lets people upload, tag, share and publish their images to blogs. Podcasting has also made an appearance in the category. It is an increasingly popular idea that makes use of RSS (really simple syndication) and audio technology to let people easily make their own radio shows, and distribute them automatically onto portable devices.  Many are done by those who already have text-based blogs, so they are almost like audio blogs. Three new categories have been added to the list this year, including best food, best entertainment, and best writing of a weblog. One of the categories that was scrapped though was best music blog. The winners of the fifth annual Bloggies are chosen by the public. Public voting closes on 3 February and the winners will be announced sometime between 13 and 15 March. ","Nominations were announced on Sunday, but traffic to the official site was so heavy that the website was temporarily closed because of too many visitors. A blog is created every 5.8 seconds, according to US research think-tank Pew Internet and American Life, but less than 40% of the total are updated at least once every two months. ""There are four nominations for the South-East Asia Earthquake and Tsunami Blog, which is a pretty timely one for 2005,"" said Mr Nolan. The nominated blogs are wide-ranging covering what is in the news to quirky sites of interest. In a sign that blogs are playing an increasingly key part in spreading news and current affairs, The South-East Asia Earthquake and Tsunami Blog is also nominated in the best overall category. This is for the top ""replicating idea that spread about weblogs"". The winners of the fifth annual Bloggies are chosen by the public. Public voting closes on 3 February and the winners will be announced sometime between 13 and 15 March. "
231," A film that follows a group of alienated youth in a Paris suburb as they prepare to perform an 18th Century play has won France's top cinema award.  L'Esquive earned a Cesar prize for its director, Tunisian-born Abdellatif Kechiche, and its young star, the 18-year-old actress Sara Forestier. It saw off competition from big-budget French epic, A Very Long Engagement, and the box-office hit, The Chorus. US film Lost in Translation won the award for best foreign feature. The wistful romantic comedy directed by Sofia Coppola has already won several awards, including an Oscar for best screenplay in 2004. Its late release in France made it a contender for this year's Cesars.  The low-budget L'Esquive depicts the travails of a group of youth getting ready to perform a school play by the 18th-Century dramatist, Marivaux. The actors are mostly amateurs and the action is set in the impoverished suburbs of Paris, home to thousands of immigrants from North Africa and their children. Kechiche said he made the film because he ""wanted to show people we don't normally see at the cinema"". A Very Long Engagement, a World War I drama featuring Audrey Tautou, won five Cesar awards. The Chorus, a film about a schoolteacher who introduces an unruly classroom to the pleasures of classical singing, won two awards - for best music and best sound. US actor Will Smith, who won an honorary award at the ceremony, thanked his family and his ""hero"", Nelson Mandela, in his speech. "," A film that follows a group of alienated youth in a Paris suburb as they prepare to perform an 18th Century play has won France's top cinema award. It saw off competition from big-budget French epic, A Very Long Engagement, and the box-office hit, The Chorus. The actors are mostly amateurs and the action is set in the impoverished suburbs of Paris, home to thousands of immigrants from North Africa and their children. A Very Long Engagement, a World War I drama featuring Audrey Tautou, won five Cesar awards. "
232," US president George W Bush has pledged to introduce a ""tough"" federal budget next February in a bid to halve the country's deficit in five years.  The US budget and its trade deficit are both deep in the red, helping to push the dollar to lows against the euro and fuelling fears about the economy. Mr Bush indicated there would be ""strict discipline"" on non-defence spending in the budget. The vow to cut the deficit had been one of his re-election declarations. The federal budget deficit hit a record $412bn (211.6bn) in the 12 months to 30 September and $377bn in the previous year.  ""We will submit a budget that fits the times,"" Mr Bush said. ""It will provide every tool and resource to the military, will protect the homeland, and meet other priorities of the government."" The US has said it is committed to a strong dollar. But the dollar's weakness has hit European and Asian exporters and lead to calls for US intervention to boost the currency. Mr Bush, however, has said the best way to halt the dollar's slide is to deal with the US deficit. ""It's a budget that I think will send the right signal to the financial markets and to those concerned about our short-term deficits,"" Mr Bush added. ""As well, we've got to deal with the long-term deficit issues."" ","""It will provide every tool and resource to the military, will protect the homeland, and meet other priorities of the government."" But the dollar's weakness has hit European and Asian exporters and lead to calls for US intervention to boost the currency. Mr Bush, however, has said the best way to halt the dollar's slide is to deal with the US deficit. ""It's a budget that I think will send the right signal to the financial markets and to those concerned about our short-term deficits,"" Mr Bush added. "
233," Singapore's economy grew by 8.1% in 2004, its best performance since 2000, figures from the trade ministry show.  The advance, the second-fastest in Asia after China, was led by growth of 13.1% in the key manufacturing sector. However, a slower-than-expected fourth quarter points to more modest growth for the trade-driven economy in 2005 as global technology demand falls back. Slowdowns in the US and China could hit electronics exports, while the tsunami disaster may effect the service sector.  Economic growth is set to halve in Singapore this year to between 3% and 5%. In the fourth quarter, the city state's gross domestic product (GDP) rose at an annual rate of 2.4%. That was up from the third quarter, when it fell 3.0%, but was well below analyst forecasts. ""I am surprised at the weak fourth quarter number. The main drag came from electronics,"" said Lian Chia Liang, economist at JP Morgan Chase. Singapore's economy had contracted over the summer, weighed down by soaring oil prices. The economy's poor performance in the July to September period followed four consecutive quarters of double-digit growth as Singapore bounced back strongly from the effects of the deadly Sars virus in 2003. ","The advance, the second-fastest in Asia after China, was led by growth of 13.1% in the key manufacturing sector. In the fourth quarter, the city state's gross domestic product (GDP) rose at an annual rate of 2.4%. The economy's poor performance in the July to September period followed four consecutive quarters of double-digit growth as Singapore bounced back strongly from the effects of the deadly Sars virus in 2003. "
234," Gordon Brown has called on rich nations to fund a 5.5bn ($10bn) plan to fight the Aids epidemic and find a vaccine.  On the fourth day of his six-day tour of Africa, the UK chancellor predicted a vaccine could be found by 2012 if the world stepped up its funding pledges. Doubling the 400m being spent yearly on finding such a vaccine could advance it by three years and save six million lives, Mr Brown said on Thursday. He hopes to use the UK's G8 presidency to push the issue forward.  ""I believe that the generation that provided the finance to combat, cure and eradicate the world's deadliest disease of today - and today the world's least curable disease - HIV/Aids - will rightly earn the title 'the great generation',"" Mr Brown said in a speech during his African tour. The problems of HIV/Aids were inseparable from poverty, he added. ""At least $10 billion per annum (5.5bn) is needed to address the HIV/Aids crisis in low and middle income countries. ""Existing financial commitments on their own will not stop the pandemic. ""The UK's proposal for an International Finance Facility is so important - increasing world aid flows by over $50 billion (27bn). A doubling of world aid to halve world poverty."" Mr Brown also said he had agreed with the Italian finance minister Domenico Siniscalco to push forward with plans for the world-wide sharing and co-ordination of research into the disease.  Currently the private sector was only spending 60m a year on seeking an inoculation and the market needed boosting, Mr Brown said. He called on industrialised nations to commit themselves to buying the first 300m vaccines at a cost of $20 each, thereby boosting the market for inoculations. This would be a ""large enough inducement to create much stronger interest from both large and small pharmaceutical firms"", Mr Brown added.  More must also be done to finance the treatment and care of those living with HIV/Aids and their families, he said. But Aid charity Actionaid criticised Mr Brown's preoccupation with finding a vaccine and called on G8 nations to fund HIV/Aids treatments. The charity's head of HIV/Aids in Britain, Simon Wright said: ""While encouraging the pharmaceutical industry to discover an HIV vaccine is important, a failure to provide any funding for HIV treatments condemns a generation of people to death. ""HIV is decimating African countries, killing the most productive adults who should be working, caring for children and building the economy. An HIV vaccine is probably at least 10 years away. Treatments are needed now."" On Wednesday, Mr Brown visited slums in the Kenyan capital Nairobi . He will visit an HIV/Aids orphanage in Tanzania and a women's credit union in Mozambique before chairing a meeting of the Commission for Africa in Cape Town. The chancellor has already unveiled proposals for a G8 aid package which he has likened to the Marshall Plan used by the United States to rebuild Europe after World War Two. "," Gordon Brown has called on rich nations to fund a 5.5bn ($10bn) plan to fight the Aids epidemic and find a vaccine. ""I believe that the generation that provided the finance to combat, cure and eradicate the world's deadliest disease of today - and today the world's least curable disease - HIV/Aids - will rightly earn the title 'the great generation',"" Mr Brown said in a speech during his African tour. ""Existing financial commitments on their own will not stop the pandemic. ""The UK's proposal for an International Finance Facility is so important - increasing world aid flows by over $50 billion (27bn). Currently the private sector was only spending 60m a year on seeking an inoculation and the market needed boosting, Mr Brown said. ""HIV is decimating African countries, killing the most productive adults who should be working, caring for children and building the economy. The chancellor has already unveiled proposals for a G8 aid package which he has likened to the Marshall Plan used by the United States to rebuild Europe after World War Two. "
235," Marcel Desailly insists there is no chance of history repeating itself when Chelsea take on Barcelona on Wednesday.  The French star was part of the Chelsea side crushed 5-1 at the Nou Camp in the Champions League quarter-final second leg in 2000. ""Things will be totally different this time,"" he told BBC Sport. ""Now everyone knows about Chelsea and is a little bit afraid of them. They are one of the major clubs in Europe and the pressure will be on Barcelona."" Chelsea have not played Barcelona since that quarter-final tie five years ago. The Blues had looked destined to progress after winning the first leg at Stamford Bridge 3-1, courtesy of two goals from Tore Andre Flo and one by Gianfranco Zola. But they collapsed in the second leg, going down to strikes from Rivaldo (2), Luis Figo, Dani and Patrick Kluivert.  Former Chelsea captain Desailly, who is now playing for Al-Gharafa in Qatar, says there is no comparison between that side and the current Blues team, who are top of the Premiership. ""Mentally they are much stronger, even though a lot of their players are young,"" the 36-year-old said. ""We made some mistakes at the Nou Camp in 2000 - a lot of them were individual mistakes. ""It would not happen now. This team has a new motivation and a different mentality."" World Cup winner Desailly saw huge changes during his time at Stamford Bridge. He was signed for 4.6m from AC Milan in 1998 by Ruud Gullit and went on to play under Gianluca Vialli and Claudio Ranieri. But the biggest change occurred when billionaire Roman Abramovich bought the club in 2003. Desailly says the Russian's arrival helped to instil a winning mentality at the club as well as a demand for success. ""The whole of Chelsea is different now - the chairman, the manager and all the players,"" he said.  ""Everything is new and there is a huge determination to win. ""Since that game in 2000, Chelsea have gained more experience in Europe and were very close to reaching the Champions League final last season."" Desailly is one of the most decorated players in the history of football. He won the 1998 World Cup and 2000 European Championship with France, the Champions League in 1993 with Marseilles and 1994 with AC Milan, two Serie A titles and the FA Cup in 2000 with Chelsea. He is now winding down his career in Qatar, alongside the likes of Frank Lebeouf, Josep Guardiola, Titi Camara, Gabriel Batistuta and Christophe Dugarry. So he is full of admiration for two of his colleagues from the great Milan side of the mid-90s who are likely to line up against Manchester United on Wednesday - Paolo Maldini and Alessandro Costacurta. ""I'm happy that they have managed to play so long at a high level,"" he said. ""I made a vow to Costacurta that as long as he plays, I will continue to play. ""And it's amazing that Paolo has managed to play at such a high level for such a long time."" ","They are one of the major clubs in Europe and the pressure will be on Barcelona."" But they collapsed in the second leg, going down to strikes from Rivaldo (2), Luis Figo, Dani and Patrick Kluivert. Former Chelsea captain Desailly, who is now playing for Al-Gharafa in Qatar, says there is no comparison between that side and the current Blues team, who are top of the Premiership. ""We made some mistakes at the Nou Camp in 2000 - a lot of them were individual mistakes. World Cup winner Desailly saw huge changes during his time at Stamford Bridge. Desailly says the Russian's arrival helped to instil a winning mentality at the club as well as a demand for success. ""Everything is new and there is a huge determination to win. So he is full of admiration for two of his colleagues from the great Milan side of the mid-90s who are likely to line up against Manchester United on Wednesday - Paolo Maldini and Alessandro Costacurta. ""And it's amazing that Paolo has managed to play at such a high level for such a long time."" "
